award.award_winner.awards_won..award.award_honor.award	m.012xls	m.05qck	also received the	en.wikipedia.org/wiki/Jimmy_Doolittle	1
award.award_winner.awards_won..award.award_honor.award	m.014488	m.03fkrc	was awarded the	en.wikipedia.org/wiki/Harry_Belafonte	1
award.award_winner.awards_won..award.award_honor.award	m.014g17	m.0pjfj	was awarded the	en.wikipedia.org/wiki/Ernst_Jünger	1
award.award_winner.awards_won..award.award_honor.award	m.017dz3	m.025_12q	received the	en.wikipedia.org/wiki/Anne_Morrow_Lindbergh	1
award.award_winner.awards_won..award.award_honor.award	m.01bpn	m.01w7n7	was awarded the	en.wikipedia.org/wiki/Bertrand_Russell	1
award.award_winner.awards_won..award.award_honor.award	m.01bw10	m.04qy5	was awarded the	en.wikipedia.org/wiki/Henry_A._Schade	1
award.award_winner.awards_won..award.award_honor.award	m.01jy3r3	m.05zwvkt	was awarded the	en.wikipedia.org/wiki/Ray_Brown_(musician)	1
award.award_winner.awards_won..award.award_honor.award	m.01lz09	m.01f2y9	was awarded the	en.wikipedia.org/wiki/Michael_Eavis	1
award.award_winner.awards_won..award.award_honor.award	m.01n4f8	m.05qg5q	received the	en.wikipedia.org/wiki/Bill_Maher	1
award.award_winner.awards_won..award.award_honor.award	m.01ptdv	m.05qck	was presented with the	en.wikipedia.org/wiki/Arthur_Fiedler	1
award.award_winner.awards_won..award.award_honor.award	m.01wcgp	m.093h8d	received the	en.wikipedia.org/wiki/Gordon_B._Hinckley	1
award.award_winner.awards_won..award.award_honor.award	m.01wj9p	m.03fkrc	was awarded the	en.wikipedia.org/wiki/Harold_Prince	1
award.award_winner.awards_won..award.award_honor.award	m.021nc2	m.04g4dx	received the	en.wikipedia.org/wiki/Roman_Dmowski	1
award.award_winner.awards_won..award.award_honor.award	m.021rms	m.05qck	received the	en.wikipedia.org/wiki/Michael_E._DeBakey	1
award.award_winner.awards_won..award.award_honor.award	m.023ryk	m.04q77zw	was awarded the	en.wikipedia.org/wiki/Wilder_Penfield	1
award.award_winner.awards_won..award.award_honor.award	m.023t0b	m.01f2y9	was awarded the	en.wikipedia.org/wiki/Kenneth_More	1
award.award_winner.awards_won..award.award_honor.award	m.026wm5g	m.02017v	received the	en.wikipedia.org/wiki/Martin_Agronsky	1
award.award_winner.awards_won..award.award_honor.award	m.026yk9y	m.03_190	received the	en.wikipedia.org/wiki/PATH_(global_health_organization)	1
award.award_winner.awards_won..award.award_honor.award	m.027skz	m.0b9cll	was awarded the	en.wikipedia.org/wiki/Arthur_Compton	1
award.award_winner.awards_won..award.award_honor.award	m.02f1c	m.07jtc3	received the	en.wikipedia.org/wiki/Dolly_Parton	1
award.award_winner.awards_won..award.award_honor.award	m.02ldv0	m.0268dqd	was presented with the	en.wikipedia.org/wiki/Gary_Sinise	1
award.award_winner.awards_won..award.award_honor.award	m.02phyrc	m.026bjbq	was awarded the	en.wikipedia.org/wiki/Kerrod_Walters	1
award.award_winner.awards_won..award.award_honor.award	m.02pp_bm	m.01kpt	was awarded the	en.wikipedia.org/wiki/Bill_Geist	1
award.award_winner.awards_won..award.award_honor.award	m.02rn_j	m.07sb60v	was awarded the	en.wikipedia.org/wiki/Pierre-Gilles_de_Gennes	1
